1	全款置业	无贷款拥有一个属于自己的家	生活	legendary	4	你一次性付清了房款，销售看着你的转账记录愣了三秒。你拿到了房产证，上面只有你一个名字——这是地球上最难获得的成就之一。
2	财富自由	被动收入覆盖生活支出	职业	epic	5.2	你不再需要为账单担心，不再需要在不想工作的日子里强迫自己去上班。你终于拥有了地球上最昂贵的东西——自由。但你也发现，真正让人快乐的不是钱本身，而是钱带来的选择权。
3	游戏收藏家	入手多款游戏主机设备	兴趣	epic	5.9	你的柜子里摆满了各世代主机：Switch、PS5、Xbox、还有那些早已停产的经典机型。每一台都承载着不同年代的游戏回忆。你不是在收集机器，而是在收藏一段段青春。
4	走过五大洲	在地球上的每个大洲都留下足迹	旅行	epic	7	你在七大洲都留下了自己的足迹。从南极的冰川到非洲的草原，从欧洲的古镇到南美的雨林——你用脚步丈量了这颗星球，它比你想象的更美丽、更脆弱、更值得被珍惜。
5	自律传说	连续365天每天早起，坚持自律生活	成长	epic	7	这是地球上最难达成的成就之一。你需要每天对抗床的引力、手机的诱惑、疲劳的侵袭。但那些早起的时间，那些安静的清晨，最终会变成你人生中最宝贵的财富。恭喜你，你已超越了99%的玩家。
6	跑完一场马拉松	42.195公里，用双脚丈量极限	兴趣	epic	8	35公里的时候你差点放弃，腿像灌了铅，心肺像被人攥住。但当你拐过最后一个弯道看到终点线的时候，你用尽最后一丝力气冲了过去。奖牌挂上脖子的那一刻，你已经在想下一马拉松了。
7	零负债	无房贷、车贷、网贷，真正无债一身轻	财务	epic	9	在这个人人负债的时代，你居然做到了零负债。没有房贷的压力，没有信用卡账单的焦虑，你活得比大多数人轻松得多。这不是因为你赚得多，而是因为你懂得控制欲望。
8	双语达人	掌握一门母语以外的语言	技能	epic	9.3	从ABC开始，你花了好几年才终于能用另一种语言流利表达。这门语言为你打开了一扇窗，让你看到了不一样的风景，认识了不一样的人。世界因此变得更大了。
9	露营初体验	体验户外野外露营过夜	旅行	rare	10.3	帐篷外的篝火噼啪作响，满天繁星近在咫尺，远处传来虫鸣和风声。城市的光污染在这里不存在。你躺在睡袋里，第一次看清了银河的全貌——原来夜空这么美。
10	减肥20斤	用自律战胜地心引力	成长	rare	11	你戒掉了宵夜，每天去健身房，对着体重秤上的数字怀疑人生。但当有一天你穿上那条曾经穿不进去的裤子，拉链顺畅地拉上去——那一刻，你觉得自己无所不能。
11	海外旅行	拥有一次国外旅行的经历	旅行	rare	11	护照盖上了第一个入境印章，你站在异国街头，空气是陌生的，语言是不熟悉的，但你的内心充满了兴奋。世界比你想象的更大、更多彩，而你才刚刚开始探索它的第一步。
12	千里奔赴	跨越千里只为见一个人	社交	rare	11.6	你买了一张机票/火车票，穿越了大半个中国，只为了见那个人一面。见面时可能只是吃一顿饭、散一圈步，但这份跨越千里的心意，比什么都珍贵。
13	看一次极光	在北极圈附近目睹大自然的灯光秀	旅行	rare	12	你在零下二十度的夜里等了三个小时，当绿色的光幕在头顶舞动时，你忘记了寒冷。那是你一生中见过的最美的光——它不属于任何城市，只属于这颗星球本身。
14	挚友羁绊	拥有相处10年以上、可以完全无条件信任的挚友	社交	rare	13	十年了，你们见过彼此最狼狈的样子，分享过最深藏的秘密，吵过架又和好。在这个人来人往的世界里，有一个人始终在那里——这比什么都珍贵。
15	五年坚持	坚持一件爱好5年以上从未放弃	兴趣	rare	13	五年了，你还在画画/跑步/写作/摄影/弹琴。周围的人换了又换，但这件小事你一直坚持着。它不一定给你带来名利，但它让你的灵魂有一个可以栖息的地方。
16	坚持记账一年	清楚每一分钱的去向	生活	rare	14	你坚持记录每一笔开销，一年后发现：原来你花了那么多钱在奶茶上。你开始重新思考什么才是真正值得的消费——这不是抠门，这是对自己劳动成果的尊重。
17	创业	创建自己的组织	职业	rare	15	你辞掉了稳定的工作，用积蓄注册了一家公司。前三个月你没有收入，每天都在焦虑中度过。但当第一笔订单进账的时候，你看着那个数字，哭了。
18	24小时不眠	超过24小时不睡觉	成长	rare	16.7	你盯着时钟，数字跳到了24小时以上。眼皮沉重，大脑迟钝，但你就是睡不着。也许是压力，也许是亢奋，也许只是单纯的失眠。无论如何，你正在挑战人类生理极限。
19	跨过大半个球	到达与自己所在时区相差超过6小时的地方	成长	rare	18	你坐了十几个小时的飞机，落地时身体告诉你是凌晨三点，窗外却是烈日当空。你站在异国的街头，突然意识到：世界比你想象的要大得多。
20	方言达人	熟练掌握2种及以上地方方言	技能	rare	18.3	你不仅能说普通话，还能用两种以上方言和当地人无缝交流。每一种方言背后都是一个地域的文化密码，而你掌握了其中的好几把钥匙。
21	极限学习	非上课时间一天学习超过10个小时	学业	rare	18.6	凌晨两点你还在刷题，室友说你疯了。你不知道自己在坚持什么，只是不想输给那些比你努力的人。多年以后回想起来，那段拼命的日子，是你人生中最纯粹的时光。
22	读完50本书	解锁「终身学习」成就	兴趣	rare	19	你在第五十本书的最后一页写下日期，回想起第一本书读得磕磕绊绊的日子。这些书没有改变你的命运，但它们改变了你看世界的方式——这就够了。
23	睡眠冠军	成功单日睡眠达10小时以上	健康	rare	19.3	难得的一天假期，你关掉所有闹钟，一口气睡了十几个小时。醒来时阳光正好，肚子咕咕叫，大脑一片空白——这种什么都不用想的感觉，简直不要太爽。
24	坚持一个习惯100天	用行动证明自律不是鸡汤	成长	rare	21	第一天你充满斗志，第十天你想放弃，第三十天你已经习惯了。第一百天早上，你睁开眼，发现那个曾经需要毅力才能完成的事情，已经变成了你生活的一部分。
25	说走就走	临时起意，即兴开启一段旅程	旅行	rare	21.7	周五晚上你突发奇想买了张票，周六早上已经在另一个城市的街头喝咖啡了。没有攻略，没有同伴，只有一个背包和一颗想去远方的心。这种冲动，是你给自己最好的礼物。
26	献血	用400ml血液拯救陌生人的生命	社交	rare	22	你卷起袖子，看着针头扎进静脉。护士告诉你：你的血可能会救一个手术台上的陌生人。你突然觉得，原来每个人都可以成为别人的英雄——不需要超能力，只需要一点勇气。
27	手工达人	独立完成手工DIY制作作品	兴趣	rare	22.1	你从零开始，一块木头/一根线/一团泥，在你的手中逐渐变成了一个完整的物件。虽然不完美，但它是独一无二的。DIY 的快乐在于创造，而不在于成品是否精美。
28	博士毕业	获得博士学位，成为某个细分领域的专家	学业	rare	23	你花了整整五年（甚至更久），终于在那份薄薄的证书上看到了「博士」两个字。你站在学术的巅峰，俯瞰着人类知识的边界——然后发现边界之外还有更大的未知。
29	千小时玩家	单款游戏游玩总时长突破1000小时	娱乐	rare	23.2	Steam 显示你在这款游戏上投入了 1000+ 小时。别人问你值不值得，你不知道怎么回答。那些深夜、那些队友、那些欢笑与泪水，都不是数字能衡量的。
30	电影爱好者	一年累计观看电影超30部	娱乐	rare	23.5	你的片单越来越长，观影记录密密麻麻。每一部电影都是一扇窗，透过它你看见了不一样的人生。三十部，五十部，一百部——你的世界观在这些光影中悄然改变。
31	装修小能手	亲手打造梦想中的居住空间	生活	rare	25	你刷墙、装灯、拼家具，把毛坯房变成了梦想中的家。每一处细节都倾注了你的心血，朋友们参观时发出惊叹——这就是最好的回报。
32	学会一种乐器	用音乐表达无法言说的心情	兴趣	rare	26	你第一次完整地弹出一首曲子，虽然指法还不熟练，虽然节奏还有点乱，但那段旋律是你自己弹出来的。你突然明白为什么人们会说「音乐是灵魂的语言」。
33	经济独立	解锁「经济独立」被动，不再依赖原生家庭补贴	生活	rare	27	第一次用自己挣的钱付房租、买 groceries、交水电费的时候，你感到一阵心疼，但也感到一种从未有过的骄傲——从今天起，你是一个经济独立的成年人了。
34	家庭聚餐组织者	成为家庭聚会的策划者和核心人物	家庭	rare	28	你张罗了一次全家聚餐，从订餐厅到安排座位，从点菜到照顾每个人的口味。看着满桌的笑脸，你突然意识到：你已经是这个家的主心骨了。
35	极简社交	只维持3个以内的核心好友关系	社交	rare	28.4	你的通讯录里人很多，但真正的朋友只有两三个。你不热衷于社交，也不觉得孤独。质量永远大于数量——这几个知己，胜过千百个点赞之交。
36	在陌生人面前公开演讲	克服恐惧，用声音影响他人	成长	rare	29	你站在台上，双腿发抖，声音发颤。但当你讲完最后一句话，台下响起掌声的时候——你发现，原来害怕这件事本身，并没有那么可怕。
37	毛孩子陪伴	养宠猫狗超过5年，朝夕相伴	生活	rare	29.3	五年了，TA从一只小小的奶猫/幼犬变成了你生活中最重要的部分。你不在家的时候TA会等你，你回家的时候TA会扑向你。TA不会说话，但TA给你的爱，比任何人都纯粹。
38	在异国他乡遇到同胞	解锁「他乡遇故知」成就	社交	rare	30	你在异国的街头听到熟悉的语言，那种亲切感瞬间淹没了你。你们聊了很久，交换了联系方式，然后各自继续旅行。但那个下午的咖啡，你永远不会忘记。
39	掌握第二语言	解锁与另一个文化沟通的技能	技能	rare	32	你花了数年时间背诵单词、练习发音，终于有一天，你用另一种语言流畅地讲述了一个笑话——对方笑了。那一刻你知道，你真正掌握了这门语言。
40	买房签约	在地球上拥有一个永久坐标	生活	rare	32	你在购房合同上签下了自己的名字，那一刻你背负了未来二十年的承诺。但当你拿到钥匙打开新家的门，你知道这一切都值得。
41	短视频沉迷	连续8小时不间断刷视频，全程不离屏幕	娱乐	rare	32	本来只想刷五分钟放松一下，结果一抬头天已经黑了。手机电量从80%掉到5%，你的脖子酸痛，但手指却停不下来。算法比你更了解你自己——这才是最可怕的地方。
42	养一盆植物并让它活过一年	解锁「生命养育」初级成就	生活	rare	33	你浇水、施肥、晒太阳，那盆绿萝居然真的活了一年！你骄傲地拍了照片发朋友圈，配文「终于不是植物杀手了」。那一刻你懂了，原来养育生命这件事，比想象中更需要耐心。
43	出国旅行	踏足另一个国家	旅行	rare	35	你走下飞机，空气里弥漫着陌生的味道，路牌上的文字你看不懂，但你的心里充满了兴奋。原来世界真的很大，大到你用一生也走不完。
44	泪失禁体质	为十部以上影视作品感动落泪	娱乐	rare	35.3	你不是一个爱哭的人，但有些电影/电视剧就是能让你的眼泪止不住。第十次在电影院抹眼泪的时候你认了——敏感不是弱点，它是感受力的证明。
45	自驾旅行	拥有一次驾车出行的旅游经历	旅行	rare	35.4	你握着方向盘，载着好友或爱人，沿着海岸线一路向南。音乐开着，窗摇下来，风吹进来，你们大声唱歌。这条路没有终点，但沿途的风景本身就是目的。
46	学会拒绝	勇敢地对不合理的要求说不	成长	rare	36	你第一次说「不」的时候，心里忐忑不安，以为世界会崩塌。但什么都没有发生——相反，你感到一种前所未有的轻松。原来，说「不」也是一种能力。
47	睡眠不足	平均每日睡眠少于7小时	健康	rare	36.2	六小时的睡眠已成常态，你习惯了用咖啡因对抗困倦。你告诉自己这是奋斗的代价，但你也知道，身体总有一天会来讨债的。
